tweet_id,label,root_tweet_text,clean_text
0,fake,New Bill Would Remove ALL Vaccine Exemptions and Make Colorado a Vaccine Police State with Recommended Home Visits https://t.co/x9RRw6LPnI,new bill would remove all vaccine exemptions and make colorado a vaccine police state with recommended home visits
1,fake,"Great example of meaningless news media coverage of negative economic growth figures:\n👉🏻’Labor says economy is weakening and figures are bad news’\n👉🏻’Liberal govt says figures are fine, nothing to worry about’\nEconomic figures are not opinion, they are fact! You can’t spin facts!",great example of meaningless news media coverage of negative economic growth figures n labor says economy is weakening and figures are bad news n liberal govt says figures are fine nothing to worry about neconomic figures are not opinion they are fact you can t spin facts
2,real,.@WHO has issued a statement saying the #coronavirus outbreak is not yet an emergency of international concern. Mayo Clinic will continue to monitor the situation. https://t.co/SA02eMceUQ https://t.co/6Tq2EzY7Al,who has issued a statement saying the coronavirus outbreak is not yet an emergency of international concern mayo clinic will continue to monitor the situation
3,fake,A husband and wife Chinese spy team were recently removed from a Level 4 Infectious Disease facility in Canada for sending pathogens to the Wuhan facility. The husband specialized in coronavirus research. #coronaviruschina #CoronaOutbreak  https://t.co/f2MpCZgkHX,a husband and wife chinese spy team were recently removed from a level infectious disease facility in canada for sending pathogens to the wuhan facility the husband specialized in coronavirus research coronaviruschina coronaoutbreak
4,fake,Stop spreading disinformation. This is reckless and irresponsible.\n\nThis article from last July does not say that the researchers were removed for sending pathogens to the Wuhan facility or identify them as spies.\n\nSubsequent reporting also does not say this. https://t.co/t0n0MIsqK1,stop spreading disinformation this is reckless and irresponsible n nthis article from last july does not say that the researchers were removed for sending pathogens to the wuhan facility or identify them as spies n nsubsequent reporting also does not say this
5,fake,A husband and wife Chinese spy team were recently removed from a Level 4 Infectious Disease facility in Canada for sending pathogens to the Wuhan facility. The husband specialized in coronavirus research. #coronaviruschina #CoronaOutbreak\nhttps://t.co/CuJJsIkpQ4,a husband and wife chinese spy team were recently removed from a level infectious disease facility in canada for sending pathogens to the wuhan facility the husband specialized in coronavirus research coronaviruschina coronaoutbreak n
6,real,#CoronaVirus #CoronaUS #Arizona #California \n\nCDC confirms additional cases of 2019 Novel Coronavirus in United States\n\n@drawandstrike @catesduane @rising_serpent @almostjingo @tracybeanz @CarrollQuigley1 @dbongino\n\n#JustTheRealNews #JTRN\n https://t.co/JpkrfDBosp,coronavirus coronaus arizona california n ncdc confirms additional cases of novel coronavirus in united states n n drawandstrike catesduane rising serpent almostjingo tracybeanz carrollquigley dbongino n n justtherealnews jtrn n
7,real,"For those interested, you can listen to a recording of today's CDC (phone) briefing on their website https://t.co/jy8sfypLzS",for those interested you can listen to a recording of today s cdc phone briefing on their website
8,real,"Today I met with Xi Jinping, President of #China, in Beijing to discuss next steps in battle against the new #coronavirus outbreak. @WHO appreciates the seriousness with which 🇨🇳 is taking this outbreak &amp; the transparency authorities have demonstrated. https://t.co/WGadkXEpP5 https://t.co/dqVMBXKXrM",today i met with xi jinping president of china in beijing to discuss next steps in battle against the new coronavirus outbreak who appreciates the seriousness with which is taking this outbreak the transparency authorities have demonstrated
9,real,Stopping the spread of the new #coronavirus both in #China and globally is @WHO’s highest priority. We are working closely with the 🇨🇳 government on measures to understand the virus and limit transmission. https://t.co/WGadkXEpP5,stopping the spread of the new coronavirus both in china and globally is who s highest priority we are working closely with the government on measures to understand the virus and limit transmission
