text,label
! ! !   @mayasolovely: As a woman you shouldn t complain about cleaning up your house. &amp  as a man you should always take the trash out...,normal
! ! ! ! !   @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place! ! ,offensive
! ! ! ! ! ! !   @UrKindOfBrand Dawg! ! ! !   @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,offensive
! ! ! ! ! ! ! ! !   @C_G_Anderson: @viva_based she look like a tranny,offensive
! ! ! ! ! ! ! ! ! ! ! ! !   @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361 ,offensive
 ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !   @T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes!  &#128514 &#128514 &#128514  ,offensive
 ! ! ! ! ! !   @__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!  ,offensive
! ! ! ! &#8220 @selfiequeenbri: cause I m tired of you big bitches coming for us skinny girls! ! &#8221 ,offensive
 &amp  you might not get ya bitch back &amp  thats that ,offensive
 @rhythmixx_ :hobbies include: fighting Mariam  bitch ,offensive
 Keeks is a bitch she curves everyone  lol I walked into a conversation like this. Smh ,offensive
 Murda Gang bitch its Gang Land ,offensive
 So hoes that smoke are losers ?  yea ... go on IG ,offensive
 bad bitches is the only thing that i like ,offensive
 bitch get up off me ,offensive
 bitch nigga miss me with it ,offensive
 bitch plz whatever ,offensive
 bitch who do you love ,offensive
 bitches get cut off everyday B ,offensive
 black bottle &amp  a bad bitch ,offensive
 broke bitch cant tell me nothing ,offensive
 cancel that bitch like Nino ,offensive
 cant you see these hoes wont change ,offensive
 fuck no that bitch dont even suck dick  &#128514 &#128514 &#128514  the Kermit videos bout to fuck IG up ,offensive
 got ya bitch tip toeing on my hardwood floors  &#128514  http://t.co/cOU2WQ5L4q ,offensive
 her pussy lips like Heaven doors  &#128524  ,offensive
 hoe what its hitting for ,offensive
 i met that pussy on Ocean Dr . i gave that pussy a pill  &#128524  ,offensive
 i need a trippy bitch who fuck on Hennessy ,offensive
 i spend my money how i want bitch its my business ,offensive
 i txt my old bitch my new bitch pussy wetter ,offensive
 i d say im back to the old me but my old bitches would get excited  &#128524  ,offensive
 if you aint bout that Murder Game pussy nigga shut up ,offensive
 if you re toes ain t done you pussy stinks ,offensive
 im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that ,offensive
 is that ya bitch ,offensive
 it aint nothing to cut a bitch off ,offensive
 jus meet son now he ya mane ass bitches  #Shots ,offensive
 lames crying over hoes thats tears of a clown ,offensive
 like Snoop said in 94 we dont love these hoes ,offensive
 momma said no pussy cats inside my doghouse ,normal
 most hated but the hoes favorite  #2MW #SevenOne # http://t.co/BMdSVMc3rC ,offensive
 nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick http://t.co/bzRDl3kF7U ,offensive
 pimps up pimps up hoes down  Future voice ,offensive
 post a picture of that pussy get 200 likes ,offensive
 pussy is a powerful drug  &#128517  #HappyHumpDay http://t.co/R8jsymiB5b ,offensive
 quick piece of pussy call it a drive by ,offensive
 running round here like some brand new pussy thats bout to get fucked ,offensive
 these bitches even worst they ll send them guys for you ,offensive
 these hoes like niggas that spend money not talk bout it ,offensive
 we dont trust these niggas all these bitches ,offensive
 yall niggas b cuffing hoes cause yall aint never have bitches ,offensive
 you dodge a bullet  &#128517  &#8220 @DaRealKha:   All da bitches I cut off pregnant or bound to be ....thank God &#128591   &#8221  ,offensive
 young Pill Chamberlain these bitches love my music ,offensive
 &#128514 &#128514 &#128514 &#128514 &#128514 &#128514 &#128514 &#128514 &#128514 &#128514 &#128514 @VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but......... ,offensive
 &#128514 &#128514 &#128514 &#128514 &#128514 &#128514 &#128514 &#128514 &#128514 &#128514 @DaHomieFuzz: Gay niggas couldn t wait to act like bitches tonight ,offensive
 &#128514 &#128514 &#128514 @The_Paradox: And ima steal his cat n replace it with a pitbull &#128514 &#128514 &#128514 &#128514   @80sbaby4life: @The_Paradox He a bitch you should do it ,offensive
 &amp  he s gone always be a hoe ,offensive
 ...Son of a bitch took my Tic Tacs.  I like this movie. ,offensive
 ..All I wanna do is get money and fuck model bitches!  - Russell Simmons ,offensive
 @2015seniorprobs: I probably wouldn&#8217 t mind school as much if we didn&#8217 t have to deal with bitch ass teachers  . Retweet ,offensive
 @A7XDemery: I m a fucking fag they said ,offensive
 @ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz how does doing this stuff make him a pussy? ,offensive
 @Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF woof woof hot scally lad ,normal
 @AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice Yes ,offensive
 @AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?!  &#128553 &#128553 &#128553 &#128553  I SWEAR! ! ! ! !  ,offensive
 @AllAboutManFeet: http://t.co/3gzUpfuMev woof woof and hot soles ,normal
 @Allyhaaaaa: Lemmie eat a Oreo &amp  do these dishes. One oreo? Lol ,normal
 @Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1 maybe you ll get better. Just http://t.co/TPreVwfq0S ,offensive
 @Almightywayne__: Fuck Red Malone man bitch ass niggah could you please use complete sentences? ,offensive
 @ArizonasFinest6: Why the eggplant emoji doe?  y he say she looked like scream lmao ,normal
 @AutoWorId: Hennessey Venom GT &#128584  http://t.co/i8eGMnKaJ9 that s one sexy bitch ,offensive
 @BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness  &lt lmao! !  ,offensive
 @BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit ,offensive
 @BVSEDCHINK: Yo fuck skateboarding, all y all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7  @AmJemieBenn ,offensive
 @BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R  Awwwwe!  This is soooo ADORABLE!  ,normal
 @BaylaaGottaBody: &#128514 &#128514 &#128514 &#128514  I ain t shit . Damn Skippy lol ,offensive
 @BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy  No bs must b &gt 30\%chance ,offensive
 @BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u 0 rings 0 mvps 0 bitches lol ,offensive
 @BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !  ,offensive
 @BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e he s a pussy with not tattooing them nipples ,offensive
 @Bill215_: &#128175 &#128175 &#128175   @nel_ayden Bitches be wanting to act like niggas so bad &#128553 &#128553 &#128553  that shit aint cuteeeee but niggas act like bitches.. ,offensive
 @BitchJones92: Get worshiping bitch!  http://t.co/R37CejCjou woof woof ,offensive
 @BlackChiquitita: Wow.  @thatmanpalmer I m lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6 yeah she s a hoe ,offensive
 @BlackNerdJade: Ok, sis. She d rather be a broke bitch? *shrugs* she ll have to tell me how it works for her ,offensive
 @Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer gaywad ,hate
 @BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k it wasn t even funny lol ,offensive
 @BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx fr ..... LULWHORE ,offensive
 @CASHandBOOBIES: I been kidnapped yo bitch ,offensive
 @CB_Baby24: @white_thunduh alsarabsss hes a beaner smh you can tell hes a mexican ,hate
 @CCobey: @AydanMcCoy happy birthday nigs Thanks yo ,offensive
 @CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1 this bitch need to go! ! !  ,offensive
 @CaelanG15:   @22EdHam: @CaelanG15 that nigga was eating that hoe lol Hell Yea lol john Paul nigga said john paul.. http://t.co/OSIpBKPr9h ,offensive
 @CanIFuckOrNah: What would y all lil ugly bald headed bitches do if they stop making make-up &amp  weave? ,offensive
 @CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas you better start looting my nig ,offensive
 @CauseWereGuys: Going back to school sucks more dick than the hoes who attend it. ,offensive
 @CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R me as a 9 year old ,offensive
 @CeleyNichole: @white_thunduh how come you never bring me food i dont have a car retard ,offensive
 @ChadMFVerbeck: If Richnow doesn t show up with hella tinder hoes Im not his friend anymore chill I brought like like 8 prople ,offensive
 @ChandlerParsons: How bout them Cowboys! ! ! !  Shutup pussy ,offensive
 @ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI &lt bitch want likes for some depressing shit..foh ,offensive
 @Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp  you was going lbvs  bitch plz ,offensive
 @Coley_Cee: Let me make a couple tweets off cuzzo page, so I won t get in twitter jail.  lmao bitch don t trick me again ,offensive
 @ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds. ,offensive
 @ComedyTruth: amen miley &#128591  http://t.co/P2Kb2tfyxr  okay, but she don t need to act like a hoe just bc she s   emotionally damaged foh ,offensive
 @CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175  ,offensive
 @Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049  https://t.co/KeegDCjS5K&#8221  &#128533  ,offensive
 @DBAB_Holloway: Check out our 12th man. #CowboysNation even with all those faggot ny fans in the stands ,offensive
 @DGotBricks: What happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch ,offensive
 @DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554 &#128527 &#128056  wow ,offensive
 @DevilGrimz: @VigxRArts you re fucking gay, blacklisted hoe Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn ,hate
 @DiamondLoudKush: The fuck be wrong with these bitches? Nobody knows ,offensive
 @Dietrich1892: Yall shut up:p make me bitch ,offensive
 @DionaIrish: I hate a   I m pregnant type of bitch. ,offensive
 @DoYou_Q: Got bitches in the DM but I don t ever read em which is y your top 3 ,offensive
 @DomWorldPeace: Baseball season for the win. #Yankees This is where the love started ,normal
 @Dommoneek: Little stupid as bitch I don t fuck with yoooooouuuu.. ,offensive
 @DreadheadAri: she really asked me that dead ass serious tho, all i could say was   bitch wheet LOL ,offensive
 @DunderbaIl: I m an early bird and I m a night owl, so I m wise and have worms. ,normal
