text,label
'so glad i started beauchamin tonight on my fantasy team.',sarcastic
'the only bad thing about weed is getting caught with it #makessense',sarcastic
'yoko killing it on david letterman tonight.',sarcastic
'ten years down the road i am definitely gonna have to predict the ratio of metal and non metal ions in magnesium and fluorine',sarcastic
'rudders is so good',sarcastic
'when i look at text messages i forget about them because they re not important....',sarcastic
'im fucked up alittle. somebody gonna get this work',sarcastic
'and now i have to pee....... awesome! cause i love getting outta bed 10, 000 time before i can finally go to sleep!',sarcastic
'i love leaving campus at midnight on a school night.',sarcastic
'sometimes idiots just brighten my day ,',sarcastic
'my life is so exciting.......',sarcastic
'crying myself to sleep was exactly what i wanted to do tonight.',sarcastic
'glad my dryer has ruined two of my camis now',sarcastic
'i love waking up in the dark and coming home in the dark',sarcastic
'it s not funny to be funny and it s funny to be not funny.... if you know what i mean! #wordoftheday',sarcastic
'now i know where you get your manners from..',sarcastic
'boy ive missed these early morning starts...',sarcastic
'hitting myself in the face with the remote felt awesome.',sarcastic
'you d think after 4 years of college i would get a handle on my procrastination',sarcastic
'tea and soothers will get me through the day hopefully &lt;&lt;&lt;&lt;&lt; #coldlyfe #school #woop',sarcastic
'i mean i work at 8 am tomorrow, so staying up till 2 is a fine idea..',sarcastic
'this bio test tomorrow morning is looking better by the second',sarcastic
'lets see what excitement today brings',sarcastic
'i love how much i randomly wake up in the middle of the night. 😳',sarcastic
'as if gettin up at 7 &amp; going to school isnt bad enough but then to realise how i forgot my diluted orange on the bus makes it all better',sarcastic
'wow i really love not being able to sleep through the night',sarcastic
'the morning after the night before. on reflection bayern just about shaded it...',sarcastic
'my hair is sooo nice and dry today',sarcastic
'ticking down the minutes  til 1am so i can take my online ir test #thankscomcast',sarcastic
'there s a fucking cat outside my window in heat... #wtf #sexy',sarcastic
'my tl is virtually dead from 12am to 3am. i must not follow enough students. or y all have gotten weak. #sleepwhenyouredead #orparents',sarcastic
'im such a sweetheart. ♥',sarcastic
'broken car, 4 lessons, no lunch .. today s looking good',sarcastic
'imagine living and working and drinking in crosby #whatalife',sarcastic
'what a lovely fucking morning',sarcastic
'am told the acts at my grad ball tomorrow are lydia lucy from xfactor and some guy from the voice. great. glad i paid £30 for that',sarcastic
'just another night i get to fall asleep alone. #glourious',sarcastic
'loves sleeping on the sofa',sarcastic
'i have to call marriages abroad and see if i can get document rushed through this shall be very fun',sarcastic
'good to see asians on twitter being optimistic about amir khan..',sarcastic
'love a good chesty cough 👍',sarcastic
'can t sleep at all, tomorrow s going to be fun',sarcastic
'can t sleep. so bored. nobody to talk to. #livingthelife',sarcastic
'nothing better than someone else music waking you up! #bliss',sarcastic
'love random phone calls....',sarcastic
'cause waking up and crying is definitely how i wanted to start my day',sarcastic
'buzzing bout the weather #goodtobeback',sarcastic
'the sitcom return of michael richards, hahaha that can only end well.',sarcastic
'i just looove when people don t txt me back but they post on twitter, it really makes me feel like they want to talk to me!',sarcastic
'nice weather we re having',sarcastic
'i love leaving for clinical when the sun is down and the stars are still out....',sarcastic
'wow nice update snapchat',sarcastic
'we re all looking very sexy in our lab coats this morning...',sarcastic
'my body is in the best condition ever for lab today *-_-*',sarcastic
'tired plus i have toothache..my life gets better and better more than ever!',sarcastic
'my teacher just told me that i m never going to find a husband. my self confidence is through the roof...',sarcastic
'ha ha matt the plonker at work has come in wearing shell suit bottoms with a gaffer taped crotch!! pmsl #newfashion',sarcastic
'why did george w. bush make the government shutdown?',sarcastic
'late at night. dad is sleeping. and ate is rockin chris brown songs! man! #karaoke #goodsinger',sarcastic
'perfect whether this week',sarcastic
'that 6 am alarm clock worked well',sarcastic
'another day another doller.. oh no wait because all this overtime i m doing i ll get taxed a fortune on.. yey!',sarcastic
'love how everyone tells me things',sarcastic
'great start to my day',sarcastic
'great way to start off my morning 👌',sarcastic
'that s always a good thing waking up to a message that says one of your family members died yesterday.',sarcastic
'well reversing the wrong way into on coming traffic was a bright idea',sarcastic
'nice to see chef in such a great mood today',sarcastic
'so sleeping in hour increments was fun',sarcastic
'damn i missed getting up this early ...',sarcastic
'this is just going to be the best day ever.. 😄',sarcastic
'i love gym class first period 💙',sarcastic
'feel really loved right now guys',sarcastic
'so pumped for necaps man',sarcastic
'okay mum. i ll learn how to play the devil went down to georgia on the violin. easy',sarcastic
'this week just keeps getting better',sarcastic
'always a good start to the when your favorite cereal is all gone',sarcastic
'class is suppose to start in an hour but i have no clue where my class has been relocated to...just the way i want to start my day off',sarcastic
'today s starting out to be amazing',sarcastic
'perfect start to my morning....',sarcastic
'today i m training local teachers on diversity and showing samples of microaggressions experienced in my real job #lovemyjob',sarcastic
'having literature in the morning is one of the better decisions i ve made.',sarcastic
'ah good to see the scottish weather has returned to normal',sarcastic
'that good morning text i got this morning&gt;&gt;&gt;',sarcastic
'spilled water all over my pants on my way to school. great way to start off my day! 😒',sarcastic
'great way to start a day.',sarcastic
'perfect day to wake up really sick',sarcastic
'just loveee being on hold',sarcastic
'well that s a great way to start off my morning!',sarcastic
'today i received something as a fulbright in turkey that many americans in us don t have - health insurance. #thanksgop',sarcastic
'today is just awesome. 😒',sarcastic
'love being so replaceable..',sarcastic
'sad thing is men think just because you used to be intimate in the past it s easy to climb in the bed again',sarcastic
